ID,IPK_Sem1,IPK_Sem2,IPK_Sem3,IPK_Sem4,Kehadiran_Rata,Remedial_Total,Aktivitas_Online,Pekerjaan,Jam_Kerja_Mingguan,Pendapatan_OrangTua,Tanggungan_Keluarga,Risiko_DO
M0058,2.65,2.91,3.04,3.35,77.1,1,8,Tidak,0,6.0,6,0
M0059,2.97,3.05,3.34,4.0,81.8,2,9,Tidak,0,5.7,6,0
M0060,3.29,3.35,3.28,3.46,70.1,1,13,Ya,26,6.6,10,0
M0061,2.56,2.82,3.04,3.05,81.1,1,11,Ya,15,6.8,3,0
M0062,2.71,2.67,2.75,2.97,81.5,1,10,Tidak,0,8.5,8,0
M0063,2.25,2.37,2.08,1.97,65.0,0,10,Tidak,0,6.0,5,0
M0064,2.2,2.17,2.27,2.99,90.0,0,13,Tidak,0,6.9,10,0
M0065,3.21,3.29,2.99,3.04,71.2,0,11,Tidak,0,7.4,4,0
M0066,3.48,3.31,3.12,3.04,80.9,3,12,Tidak,0,7.5,2,0
M0067,2.76,2.03,2.09,1.84,91.6,0,14,Tidak,0,8.9,10,0
M0068,3.3,3.26,3.35,3.68,89.3,1,9,Ya,17,6.0,1,0
M0069,2.98,3.41,3.05,3.31,80.3,2,9,Tidak,0,4.9,7,0
M0070,2.48,2.76,3.08,2.93,76.4,1,16,Tidak,0,5.3,10,0
M0071,2.98,3.27,3.44,3.61,89.5,1,9,Tidak,0,7.3,3,0
M0072,3.57,3.94,3.73,3.28,86.7,1,10,Ya,16,5.8,3,0
M0073,2.78,2.81,2.35,2.41,73.8,1,15,Ya,14,10.6,3,0
M0074,3.58,3.64,3.6,3.74,72.1,1,7,Ya,39,6.0,10,0
M0075,1.5,1.5,1.5,2.01,59.3,2,13,Tidak,0,4.1,3,0
M0076,3.21,3.12,3.15,2.92,81.5,2,14,Tidak,0,6.6,2,0
M0077,2.84,3.02,2.91,2.53,79.2,1,16,Ya,14,9.1,6,0
M0078,2.65,3.01,2.41,2.14,91.4,1,11,Ya,38,4.4,10,1
M0079,2.85,2.81,2.69,2.29,83.6,2,13,Ya,21,4.3,3,0
M0080,1.81,1.67,1.58,1.98,93.3,1,3,Tidak,0,5.6,1,0
M0081,2.69,2.69,2.88,3.34,73.0,2,10,Ya,25,4.7,10,0
M0082,2.98,3.16,2.95,3.05,91.4,1,6,Tidak,0,3.3,9,0
M0083,3.54,3.11,3.61,3.98,74.7,3,13,Tidak,0,2.9,6,0
M0084,2.54,1.85,1.5,1.54,87.8,2,14,Tidak,0,6.5,6,0
M0085,2.4,2.23,2.62,2.59,65.4,1,9,Tidak,0,7.4,10,0
M0086,2.55,2.18,2.11,2.01,82.4,2,11,Tidak,0,4.6,9,0
M0087,3.26,3.11,3.37,3.28,60.2,4,8,Tidak,0,5.9,2,0
M0088,2.96,2.92,2.94,2.48,77.3,0,11,Tidak,0,6.4,10,0
M0089,2.54,2.4,2.74,2.82,84.4,3,8,Tidak,0,3.8,9,0
M0090,3.06,3.5,3.38,3.37,74.8,1,10,Tidak,0,7.7,3,0
M0091,2.85,2.95,2.62,2.84,69.5,3,9,Tidak,0,6.4,3,0
M0092,3.28,3.37,3.8,3.83,88.5,0,13,Tidak,0,7.0,3,0
M0093,2.45,2.64,2.61,2.56,79.0,0,16,Tidak,0,7.4,1,0
M0094,2.64,2.3,2.37,2.11,75.1,1,18,Tidak,0,10.9,10,0
M0095,2.6,2.91,3.28,3.3,80.4,4,9,Tidak,0,4.0,7,0
M0096,2.07,2.05,1.74,1.96,100.0,2,9,Ya,25,4.2,10,1
M0097,2.95,3.15,3.33,2.99,91.5,3,6,Tidak,0,9.4,7,0
M0098,2.93,2.61,2.43,2.46,91.6,2,11,Tidak,0,7.3,2,0
M0099,2.8,2.33,2.29,2.36,84.4,4,12,Tidak,0,6.1,6,0
M0100,2.68,2.93,2.95,2.73,81.7,5,7,Tidak,0,5.0,4,0
M0101,2.09,2.2,1.75,1.57,56.0,2,7,Ya,31,5.5,7,1
M0102,2.59,2.32,2.09,2.16,73.2,1,13,Tidak,0,5.6,7,0
M0103,2.63,2.37,2.78,2.44,75.2,2,6,Tidak,0,3.0,4,0
M0104,2.4,2.74,3.01,3.11,61.3,2,7,Ya,26,7.9,3,0
M0105,2.72,2.36,2.34,2.07,68.4,1,10,Tidak,0,2.0,7,1
M0106,3.0,3.49,3.56,3.88,60.2,3,14,Ya,21,4.3,9,1
M0107,3.74,3.47,3.38,4.0,79.6,2,10,Ya,25,5.1,4,0
M0108,2.89,3.08,3.49,3.23,88.2,3,11,Ya,22,10.3,6,0
M0109,2.93,2.83,2.77,2.93,91.1,0,12,Tidak,0,5.8,7,0
M0110,2.76,2.94,3.01,2.79,84.1,1,13,Tidak,0,6.6,10,0
M0111,1.84,1.68,2.02,2.33,70.4,1,9,Ya,34,4.2,3,0
M0112,2.79,2.74,2.51,2.13,60.7,1,8,Tidak,0,7.7,5,0
M0113,2.83,2.84,3.31,3.45,62.4,1,16,Ya,13,11.9,1,0
M0114,4.0,3.7,3.24,2.98,67.3,0,6,Tidak,0,7.0,6,0
M0115,2.7,2.92,3.41,3.35,71.1,1,12,Ya,40,5.3,5,0
M0116,2.95,2.8,2.69,2.38,78.4,3,14,Ya,25,1.9,7,1
M0117,2.78,2.71,2.64,2.89,69.9,4,15,Ya,13,7.4,9,1
M0118,2.22,1.92,1.5,1.5,83.4,1,4,Tidak,0,4.0,4,0
M0119,3.37,2.6,2.46,2.63,77.7,0,8,Tidak,0,4.5,9,0
M0120,3.18,3.12,2.81,2.71,80.1,1,17,Tidak,0,7.9,6,0
M0121,3.2,3.92,3.74,3.71,91.4,0,14,Ya,22,5.1,5,0
M0122,2.35,2.59,2.55,2.59,68.2,1,12,Tidak,0,5.8,2,0
M0123,3.5,3.49,3.78,3.55,84.2,2,11,Tidak,0,7.5,1,0
M0124,2.1,2.02,2.08,2.14,79.9,3,17,Ya,22,4.6,8,1
M0125,3.09,3.1,3.19,3.65,76.7,2,12,Ya,23,3.4,6,0
M0126,3.9,4.0,3.67,3.44,88.9,0,12,Ya,10,6.9,7,0
M0127,2.3,1.95,1.69,2.04,88.8,0,14,Tidak,0,7.5,6,0
M0128,2.52,2.85,3.39,3.84,70.5,1,6,Tidak,0,4.8,10,0
M0129,2.85,3.06,2.84,2.6,78.2,1,16,Tidak,0,4.7,7,0
M0130,2.55,2.77,3.27,2.83,82.8,4,12,Ya,37,3.8,9,1
M0131,2.02,2.15,2.08,2.17,77.3,1,9,Tidak,0,7.4,5,0
M0132,2.83,2.84,2.84,2.68,85.9,2,9,Tidak,0,9.8,1,0
M0133,2.27,2.47,2.79,3.35,82.8,0,13,Ya,33,7.9,1,0
M0134,3.04,3.22,3.6,3.61,98.3,3,12,Tidak,0,5.8,9,0
M0135,2.34,2.23,2.2,1.96,64.7,1,14,Tidak,0,7.4,5,0
M0136,3.57,3.4,3.28,2.94,78.8,1,14,Ya,11,4.3,2,0
M0137,2.41,2.44,2.42,2.75,70.9,2,9,Tidak,0,6.7,3,0
M0138,2.64,3.1,3.2,3.03,86.0,3,12,Tidak,0,3.8,1,0
M0139,3.21,2.84,3.11,3.12,63.8,0,10,Tidak,0,5.8,6,0
M0140,2.18,1.74,1.74,2.03,83.5,3,9,Tidak,0,8.2,6,0
M0141,2.91,2.96,3.15,3.0,73.7,4,7,Ya,18,7.6,3,0
M0142,3.45,3.47,3.96,3.95,72.7,5,11,Tidak,0,7.1,3,0
M0143,2.0,2.05,2.16,2.16,65.5,0,8,Tidak,0,6.8,7,1
M0144,2.89,2.96,3.05,3.25,75.3,0,10,Tidak,0,4.5,1,0
M0145,2.93,2.86,2.4,2.58,90.8,0,17,Tidak,0,6.3,5,0
M0146,3.19,3.64,2.85,2.78,79.7,0,11,Tidak,0,7.6,3,0
M0147,2.18,1.7,1.82,1.84,86.3,1,11,Ya,12,5.5,5,0
M0148,2.14,1.89,1.86,1.75,96.6,1,8,Ya,14,5.6,4,0
M0149,3.06,3.03,2.88,2.44,82.6,0,6,Ya,24,5.1,6,0
M0150,2.95,2.46,2.53,2.61,74.4,0,5,Ya,34,5.4,9,0
M0151,2.93,2.88,2.86,3.43,84.7,2,10,Ya,29,4.5,2,0
M0152,2.97,3.47,3.81,3.54,74.6,3,5,Tidak,0,6.0,10,0
M0153,2.46,2.47,2.5,2.27,75.0,3,15,Tidak,0,5.4,8,1
M0154,2.92,2.99,2.77,2.51,64.8,0,11,Tidak,0,3.1,2,0
M0155,2.95,2.57,2.87,3.09,89.3,4,7,Tidak,0,11.2,4,0
M0156,2.44,2.26,2.19,2.32,76.1,2,12,Tidak,0,3.9,9,0
M0157,3.73,3.62,3.78,3.73,81.8,1,9,Ya,33,5.7,4,0
M0158,3.04,2.94,2.8,2.52,69.6,0,10,Tidak,0,6.1,7,0
M0159,2.2,2.58,2.39,2.42,84.4,2,14,Tidak,0,4.9,5,0
M0160,3.13,3.3,3.33,2.86,72.4,1,15,Ya,25,5.8,2,0
M0161,2.31,1.98,1.98,2.02,78.6,2,8,Tidak,0,4.4,8,0
M0162,3.19,3.26,3.4,3.66,88.8,3,8,Ya,12,7.5,10,0
M0163,3.38,3.53,3.45,3.07,87.9,2,9,Ya,18,6.0,10,0
M0164,2.39,2.73,2.18,1.72,79.8,4,8,Ya,11,7.4,2,0
M0165,3.28,3.75,3.62,4.0,62.3,2,12,Tidak,0,8.9,3,0
M0166,3.01,2.71,2.95,2.77,100.0,0,15,Tidak,0,5.4,10,0
M0167,3.21,2.97,2.88,3.22,97.5,2,6,Tidak,0,7.5,7,0
M0168,3.75,3.37,3.3,3.25,87.2,0,9,Tidak,0,9.1,5,0
M0169,2.68,2.61,2.91,2.86,72.5,3,13,Ya,30,5.8,10,1
M0170,2.42,2.56,2.35,2.48,78.9,0,11,Tidak,0,7.4,3,0
M0171,2.36,2.66,2.2,1.93,74.6,1,8,Tidak,0,5.1,2,0
M0172,2.39,2.37,2.32,2.36,92.6,0,16,Ya,28,8.4,6,0
M0173,2.76,2.66,2.51,2.4,82.6,2,5,Tidak,0,5.0,10,0
M0174,2.97,3.02,2.73,2.33,72.2,0,15,Ya,30,7.4,1,0
M0175,2.94,2.69,2.64,2.74,75.3,1,9,Ya,13,8.0,8,0
M0176,3.21,3.84,3.99,3.91,91.2,0,8,Tidak,0,3.6,5,0
M0177,2.81,2.33,2.33,2.28,96.0,1,5,Tidak,0,4.7,5,0
M0178,3.53,3.59,3.68,3.32,95.3,3,7,Tidak,0,4.6,2,0
M0179,2.67,3.28,3.82,4.0,87.6,2,5,Tidak,0,8.2,7,0
M0180,4.0,4.0,3.9,4.0,77.5,0,13,Tidak,0,3.6,5,0
M0181,3.11,3.05,3.13,3.42,50.0,1,15,Tidak,0,6.7,8,0
M0182,2.37,2.26,2.11,2.02,83.0,2,12,Tidak,0,7.5,5,0
M0183,2.26,2.21,1.96,1.5,80.0,1,7,Tidak,0,6.3,9,0
M0184,3.04,3.45,3.27,3.86,81.4,1,11,Tidak,0,8.5,5,0
M0185,2.69,2.03,1.89,1.87,80.5,1,9,Tidak,0,2.2,3,0
M0186,3.16,3.62,3.73,3.51,66.7,0,13,Tidak,0,7.2,2,0
M0187,3.04,2.61,3.31,3.44,85.6,1,8,Tidak,0,5.6,5,0
M0188,2.76,2.68,2.47,2.82,86.3,0,12,Tidak,0,3.0,10,0
M0189,2.38,2.25,2.13,2.12,86.8,0,13,Tidak,0,3.8,10,0
M0190,2.04,2.22,2.2,2.58,89.5,2,7,Ya,27,9.1,5,0
M0191,2.58,2.1,2.22,2.54,86.0,1,11,Tidak,0,7.3,6,0
M0192,3.23,3.37,3.45,3.13,75.9,2,8,Tidak,0,7.6,2,0
M0193,2.91,3.52,3.91,3.71,79.3,2,3,Tidak,0,7.9,5,0
M0194,2.18,1.77,1.5,1.79,80.9,1,12,Tidak,0,3.3,1,0
M0195,2.89,2.95,2.23,1.5,81.1,2,14,Ya,16,6.5,3,0
M0196,2.99,2.79,2.64,2.6,90.0,0,10,Tidak,0,8.2,3,0
M0197,2.36,2.49,2.82,2.39,86.4,0,7,Ya,10,5.2,3,0
M0198,2.88,2.89,2.42,2.28,100.0,5,11,Tidak,0,8.7,3,0
M0199,2.83,2.64,1.74,1.65,100.0,0,8,Tidak,0,4.8,8,0
M0200,2.23,2.38,2.55,2.44,80.8,0,12,Tidak,0,6.2,1,0
M0201,2.98,3.52,3.59,3.42,50.0,1,6,Tidak,0,6.8,6,0
M0202,3.08,3.02,2.69,2.36,92.4,0,8,Tidak,0,7.5,6,0
M0203,3.34,3.56,3.26,3.95,74.6,0,9,Ya,17,5.4,1,0
M0204,3.33,2.94,2.65,3.21,72.0,0,5,Ya,37,8.0,1,0
M0205,2.11,1.82,1.85,1.5,76.0,1,12,Tidak,0,6.9,3,0
M0206,2.33,2.47,2.28,2.75,75.5,2,11,Ya,21,2.7,8,1
M0207,3.06,3.51,3.66,3.54,86.1,0,7,Ya,35,9.7,6,0
M0208,3.06,3.17,2.31,2.35,64.4,1,10,Tidak,0,4.1,4,0
M0209,3.06,2.97,2.71,2.69,69.2,1,5,Tidak,0,9.8,5,0
M0210,4.0,4.0,3.66,3.46,83.4,2,8,Tidak,0,5.7,10,0
M0211,3.09,2.71,2.63,2.93,86.2,1,8,Ya,17,5.3,3,0
M0212,3.37,3.55,3.39,3.43,86.4,1,8,Ya,17,6.8,6,0
M0213,3.28,3.54,3.78,3.64,72.1,3,16,Tidak,0,4.6,6,0
M0214,3.13,2.99,2.43,2.04,70.2,1,13,Tidak,0,2.2,6,0
M0215,2.64,2.5,2.51,2.24,74.9,0,10,Tidak,0,5.8,9,0
M0216,3.18,3.26,3.43,2.94,82.4,0,11,Ya,13,6.8,10,0
M0217,2.41,2.28,2.84,2.84,94.9,0,9,Ya,34,9.1,8,0
M0218,2.68,2.66,2.52,2.16,59.5,2,12,Ya,34,3.6,6,1
M0219,2.56,3.19,3.29,3.21,77.8,5,8,Tidak,0,7.2,2,0
M0220,2.84,2.77,2.23,2.64,66.7,4,8,Ya,40,5.8,4,1
M0221,3.96,3.85,3.13,3.49,63.5,1,10,Tidak,0,6.1,6,0
M0222,1.87,1.68,1.93,1.92,89.7,0,10,Ya,27,7.9,9,1
M0223,3.14,3.36,3.36,3.33,85.4,3,9,Tidak,0,5.0,2,0
M0224,1.99,1.94,2.29,2.85,84.5,3,10,Ya,34,6.3,6,0
M0225,2.56,2.37,1.96,2.12,89.2,2,12,Tidak,0,8.2,10,0
M0226,3.34,3.74,3.9,3.8,75.2,0,18,Ya,29,8.1,10,0
M0227,2.83,3.26,3.82,3.39,75.7,1,12,Tidak,0,3.6,10,0
M0228,2.26,2.08,2.21,2.33,100.0,1,7,Tidak,0,4.8,7,0
M0229,2.44,1.88,1.96,2.21,77.5,2,14,Ya,21,5.7,8,1
M0230,3.14,3.44,3.44,3.25,87.4,4,11,Tidak,0,7.6,9,0
M0231,2.43,2.22,1.75,1.84,80.1,1,12,Tidak,0,5.5,5,0
M0232,2.91,3.15,3.56,3.45,61.5,1,8,Tidak,0,6.2,9,0
M0233,2.82,2.23,2.05,1.99,59.6,1,14,Tidak,0,8.5,9,1
M0234,2.47,2.74,2.89,2.14,74.2,2,13,Tidak,0,5.3,7,0
M0235,3.87,3.51,3.04,2.97,90.6,2,6,Ya,39,8.9,2,0
M0236,3.12,3.34,2.99,3.28,87.9,3,7,Ya,19,2.8,8,1
M0237,1.79,1.79,2.22,2.03,89.1,0,8,Tidak,0,5.2,5,0
M0238,2.89,2.6,2.5,2.52,70.1,0,6,Tidak,0,3.3,8,0
M0239,2.47,2.35,2.79,2.56,96.2,3,10,Ya,20,6.2,2,0
M0240,3.23,3.44,3.42,3.53,70.4,0,9,Tidak,0,7.5,7,0
M0241,2.4,2.43,1.88,1.82,82.1,2,7,Ya,36,5.7,5,0
M0242,2.74,2.92,3.19,2.91,79.9,1,10,Tidak,0,5.1,4,0
M0243,3.05,3.64,3.46,3.86,78.3,1,10,Tidak,0,3.3,10,0
M0244,3.23,2.76,2.97,3.25,93.4,1,13,Tidak,0,9.4,6,0
M0245,2.2,2.69,2.7,2.52,72.9,1,8,Ya,22,6.0,5,0
M0246,2.63,2.66,2.2,2.35,66.5,0,16,Tidak,0,5.1,6,0
M0247,2.56,2.29,2.34,2.5,80.2,2,11,Tidak,0,9.1,9,0
M0248,2.47,2.07,2.73,2.92,76.0,3,10,Tidak,0,5.3,1,0
M0249,3.68,3.62,3.77,3.26,100.0,3,6,Ya,24,4.2,1,0
M0250,3.0,3.28,3.26,3.56,86.8,1,11,Tidak,0,4.6,6,0
M0251,2.17,2.13,2.45,2.28,75.9,2,5,Tidak,0,4.3,2,0
M0252,3.26,3.71,3.77,3.66,69.4,2,8,Tidak,0,3.9,8,0
M0253,3.86,3.42,3.48,4.0,61.2,2,12,Tidak,0,4.6,7,0
M0254,3.32,3.32,2.99,3.08,69.7,1,17,Tidak,0,10.8,6,0
M0255,2.04,1.66,1.73,1.61,81.1,3,11,Ya,30,3.7,4,1
M0256,2.56,2.67,2.98,2.32,94.3,1,11,Tidak,0,3.0,9,0
M0257,3.43,3.7,3.45,3.87,91.2,1,10,Tidak,0,6.6,7,0
M0258,2.45,2.32,2.75,2.35,82.3,1,13,Tidak,0,5.8,7,0
M0259,3.02,2.24,2.21,1.91,76.8,1,12,Tidak,0,7.3,5,0
M0260,3.19,3.25,2.98,2.88,82.7,3,17,Ya,16,4.9,1,0
M0261,2.34,2.47,2.77,3.19,74.8,1,10,Tidak,0,4.3,2,0
M0262,2.77,2.89,2.8,3.03,97.2,3,11,Tidak,0,9.3,8,0
M0263,1.5,1.87,2.1,2.05,78.1,4,8,Tidak,0,2.8,5,1
M0264,2.29,1.97,1.88,1.97,79.1,1,11,Tidak,0,6.7,2,0
M0265,2.67,2.87,2.85,2.67,57.8,2,14,Tidak,0,7.4,5,0
M0266,2.18,2.54,2.69,2.73,78.0,0,11,Tidak,0,7.6,8,0
M0267,3.62,3.09,3.18,3.2,88.4,3,15,Tidak,0,5.4,4,0
M0268,2.08,2.18,1.58,1.87,69.3,1,18,Tidak,0,3.5,3,0
M0269,2.58,2.43,2.09,2.38,72.5,2,5,Tidak,0,9.0,5,0
M0270,2.87,2.85,3.13,3.28,87.9,1,12,Tidak,0,5.1,7,0
M0271,3.52,3.62,3.58,3.47,65.2,2,9,Ya,33,9.1,2,0
M0272,2.08,1.93,1.77,1.99,90.6,1,9,Tidak,0,6.7,1,0
M0273,3.38,3.18,2.77,2.74,74.7,4,12,Tidak,0,5.0,5,0
M0274,2.81,2.82,2.5,2.18,76.1,1,11,Tidak,0,6.8,7,0
M0275,2.31,1.98,1.5,1.5,68.8,1,13,Tidak,0,8.3,8,1
M0276,3.03,2.7,2.67,2.7,83.8,1,7,Ya,24,6.2,8,0
M0277,2.9,3.1,2.92,3.19,100.0,2,6,Tidak,0,4.5,10,0
M0278,2.5,2.16,1.87,1.81,87.8,0,9,Ya,29,2.4,9,1
M0279,2.83,3.03,3.01,2.65,71.4,1,9,Ya,28,5.2,1,0
M0280,2.61,2.75,2.86,2.88,91.4,2,11,Tidak,0,7.6,7,0
M0281,2.86,2.34,2.97,3.0,76.8,1,7,Tidak,0,4.0,10,0
M0282,3.13,2.93,2.48,2.54,93.7,1,12,Tidak,0,7.4,8,0
M0283,3.59,3.95,4.0,4.0,88.1,3,10,Ya,34,6.1,6,0
M0284,2.18,1.89,2.18,2.49,50.6,1,13,Tidak,0,7.5,10,1
M0285,3.87,3.73,3.5,3.32,70.0,1,6,Tidak,0,1.3,4,0
M0286,1.82,1.96,2.02,1.84,89.4,1,13,Ya,25,3.2,7,1
M0287,2.72,2.96,2.82,2.51,81.5,4,5,Tidak,0,5.1,3,0
M0288,3.09,3.01,3.07,3.28,69.8,0,7,Ya,34,9.7,2,0
M0289,2.94,2.76,3.21,3.64,73.7,2,14,Tidak,0,4.5,6,0
M0290,2.49,2.92,3.1,3.01,60.9,4,9,Tidak,0,5.7,2,0
M0291,2.7,3.22,3.37,3.3,79.1,0,11,Tidak,0,10.3,6,0
M0292,2.55,2.84,2.71,3.15,100.0,2,8,Tidak,0,6.9,10,0
M0293,2.51,2.54,2.09,2.24,88.0,1,11,Tidak,0,7.7,3,0
M0294,3.22,2.98,2.92,3.05,100.0,0,12,Tidak,0,4.7,2,0
M0295,2.98,2.73,3.09,2.73,88.8,1,10,Tidak,0,8.4,8,0
M0296,2.45,2.61,2.15,2.35,90.3,0,8,Tidak,0,8.7,4,0
M0297,3.25,3.38,3.06,2.78,99.7,1,9,Tidak,0,7.0,4,0
M0298,2.95,3.37,3.41,3.07,83.8,1,6,Tidak,0,5.8,7,0
M0299,3.21,3.41,3.11,3.01,78.1,0,11,Ya,14,7.1,8,0
M0300,3.11,2.66,2.42,2.24,90.3,2,5,Ya,24,2.7,9,1
M0301,2.39,2.71,2.58,2.51,94.5,0,6,Tidak,0,8.2,10,0
M0302,2.52,2.22,1.81,1.5,75.2,3,9,Ya,37,4.3,8,1
M0303,3.17,3.05,2.76,3.05,72.8,1,9,Tidak,0,5.4,4,0
M0304,3.11,3.19,3.4,3.74,81.4,2,13,Tidak,0,8.6,2,0
M0305,2.79,3.39,3.0,2.42,88.3,1,10,Tidak,0,8.2,10,0
M0306,2.86,3.79,3.31,3.6,88.0,0,9,Tidak,0,2.8,5,0
M0307,3.44,3.62,3.43,3.19,65.8,0,10,Tidak,0,4.1,7,0
M0308,2.5,2.45,2.67,2.93,99.1,0,9,Ya,11,7.3,2,0
M0309,3.07,3.23,3.17,3.15,73.6,2,9,Tidak,0,2.5,4,0
M0310,2.7,2.97,2.83,2.84,77.3,4,8,Tidak,0,8.8,6,0
M0311,2.69,2.59,2.6,2.54,71.0,4,8,Ya,14,6.2,8,0
M0312,3.35,3.89,3.37,3.73,100.0,1,17,Ya,14,8.8,10,0
M0313,3.21,3.28,3.43,3.06,82.4,1,15,Ya,37,4.5,6,0
M0314,3.21,3.36,3.48,3.66,71.5,2,7,Ya,18,4.7,6,0
M0315,3.45,3.65,3.53,3.86,88.6,2,12,Ya,23,8.1,6,0
M0316,2.81,2.94,3.24,3.45,87.7,3,7,Tidak,0,5.4,4,0
M0317,3.14,3.39,3.05,3.75,78.1,3,8,Tidak,0,3.5,3,0
M0318,2.64,2.45,2.79,2.63,88.4,2,10,Tidak,0,7.1,1,0
M0319,2.96,2.79,2.84,3.13,71.7,1,15,Ya,35,2.8,2,0
M0320,2.73,2.4,2.3,2.27,75.1,3,12,Tidak,0,8.9,2,0
M0321,2.85,2.98,2.97,3.34,59.9,2,18,Tidak,0,6.4,10,0
M0322,3.1,3.33,3.3,3.3,66.8,0,11,Tidak,0,4.2,7,0
